insta_id,user,followers,following,posts,date_Scrape,url
108,invescous,1850,17,85,"2021-04-05 22:03:30",https://www.instagram.com/invescous/
109,investmentsph,29,90,2,"2021-04-05 22:08:38",https://www.instagram.com/invescous/
110,affiliatemanager,536,15,60,"2021-04-05 22:14:15",https://www.instagram.com/affiliatemanager/
111,insightinvestments,105,40,119,"2021-04-05 22:19:59",https://www.instagram.com/insight.investments/
112,aberdeenstandard,1833,124,506,"2021-04-05 22:23:41",https://www.instagram.com/aberdeenstandard/
113,franklintempleton,4088,34,232,"2021-04-05 22:25:29",https://www.instagram.com/franklintempleton/
114,allianzglobalinvestors,1272,183,324,"2021-04-05 22:27:26",https://www.instagram.com/allianzglobalinvestors/
115,alliancebernstein,2001,61,268,"2021-04-05 22:32:29",https://www.instagram.com/alliancebernstein/
116,columbiathreadneedleus,611,39,196,"2021-04-05 22:36:47",https://www.instagram.com/columbiathreadneedleus/
117,morgan.stanley,242344,0,1388,"2021-04-05 22:38:56",https://www.instagram.com/morgan.stanley/
118,avivainvestors,746,7,0,"2021-04-05 22:39:46",https://www.instagram.com/avivainvestors/
119,principal,2406,283,36,"2021-04-05 22:42:02",https://www.instagram.com/principal/
120,blackstone,20334,2,239,"2021-04-05 22:43:23",https://www.instagram.com/blackstone/
121,charlesschwab,18437,75,103,"2021-04-05 22:47:46",https://www.instagram.com/charlesschwab/
122,manulife,12217,38,641,"2021-04-05 22:49:49",https://www.instagram.com/manulife/
123,unioninvestmentofficial,3301,379,109,"2021-04-05 22:50:20",https://www.instagram.com/unioninvestmentofficial/
124,barings_global,305,218,11,"2021-04-05 22:53:26",https://www.instagram.com/barings_global/
125,sei_hq,862,0,145,"2021-04-05 22:54:14",https://www.instagram.com/sei_hq/
126,fidelityinternational,1765,163,160,"2021-04-05 22:55:22",https://www.instagram.com/fidelityinternational/
127,dekabank.az,87,50,35,"2021-04-05 22:56:26",https://www.instagram.com/dekabank.az/
128,stifelfinancial,1050,7,36,"2021-04-05 22:58:42",https://www.instagram.com/stifelfinancial/
129,labanquepostale,16097,51,394,"2021-04-05 23:00:24",https://www.instagram.com/labanquepostale/
130,arcafondisgr,543,47,137,"2021-04-07 00:26:14",https://www.instagram.com/arcafondisgr/
131,artemisinvestments,3964,786,107,"2021-04-07 00:28:08",https://www.instagram.com/artemisinvestments/
132,bentallkennedy,2,2,0,"2021-04-07 00:28:38",https://www.instagram.com/bentallkennedy/
133,logancirclegroup,104,21,9,"2021-04-07 00:30:19",https://www.instagram.com/logancirclegroup/
134,vidacaixa,10358,78,495,"2021-04-07 00:31:17",https://www.instagram.com/vidacaixa/
135,mirabaudgroup,3134,190,193,"2021-04-07 00:32:41",https://www.instagram.com/mirabaudgroup/
136,insingergilissen,351,47,105,"2021-04-07 00:34:44",https://www.instagram.com/insingergilissen/
137,agfcrosschannelmanagement,140,20,23,"2021-04-07 00:36:25",https://www.instagram.com/agfcrosschannelmanagement/
138,davisadvisors,160,4,70,"2021-04-07 00:36:56",https://www.instagram.com/davisadvisors/
139,genesis_capital,106,21,46,"2021-04-07 00:38:19",https://www.instagram.com/genesis_capital/
140,bancosabadell,9955,1620,520,"2021-04-07 00:41:04",https://www.instagram.com/bancosabadell/
141,aew_global,233,0,146,"2021-04-07 00:45:23",https://www.instagram.com/aew_global/
142,bankinvest,501,769,304,"2021-04-07 00:46:13",https://www.instagram.com/bank_invest66/
143,lendlease,18199,21,334,"2021-04-07 00:47:37",https://www.instagram.com/lendlease/
144,cardano,1759,4,1,"2021-04-07 00:48:20",https://www.instagram.com/cardano.news/
145,landmarkpropertiesinc,985,248,200,"2021-04-07 00:48:57",https://www.instagram.com/landmarkpropertiesinc/
146,westwood_bh,237,267,40,"2021-04-07 00:50:00",https://www.instagram.com/westwood_bh/
147,calamosassetmanagement,99,1,60,"2021-04-07 00:51:34",https://www.instagram.com/calamosassetmanagement/
148,pag.hk,441,121,144,"2021-04-07 00:52:57",https://www.instagram.com/pag.hk/
149,valueactcapital,2,2,3,"2021-04-07 00:53:53",https://www.instagram.com/valueactcapital/
150,savillsglobal,4566,43,474,"2021-04-07 00:54:20",https://www.instagram.com/savillsglobal/
151,ycginvestments,54,1,36,"2021-04-07 00:55:29",https://www.instagram.com/ycginvestments/
152,natixisim,785,52,462,"2021-04-07 00:56:56",https://www.instagram.com/natixisim/
153,syzgroup,123,6,20,"2021-04-07 00:58:16",https://www.instagram.com/syzgroup/
154,veritas_capital,484,478,37,"2021-04-07 00:59:43",https://www.instagram.com/veritas_capital/
155,roycefinleyandassociates,666,127,348,"2021-04-07 01:00:35",https://www.instagram.com/roycefinleyandassociates/
156,td_canada,44470,46,576,"2021-04-07 01:01:03",https://www.instagram.com/td_canada/
