companyID,companyAbbreviation,companyName,Industry,companySize,url,date_scrape
388,"Veritas Asset Management LLP","Veritas Asset Management LLP",NULL,"11-50 employees",https://www.linkedin.com/company/veritas-asset-management/,"2021-03-20 22:11:00"
389,"Glenview Capital","Glenview Capital",NULL,"51-200 employees",https://www.linkedin.com/company/glenview-capital/,"2021-03-20 22:11:00"
390,"TimesSquare Capital Management, LLC","TimesSquare Capital Management, LLC","Asset Management
Growth Equity
and Fundamental Research","51-200 employees",https://www.linkedin.com/company/timessquare-capital-management-llc/,"2021-03-20 22:12:00"
391,"Royce Investment Partners","Royce Investment Partners","Asset Management
Mutual Funds
Small-Caps
Micro-Caps
Mid-Caps
Value Investing
Stocks
Active Management
Long-Term Investing
and Risk Management","51-200 employees",https://www.linkedin.com/company/royceinvest/,"2021-03-20 22:13:00"
392,"TD Asset Management","TD Asset Management",NULL,NULL,https://www.linkedin.com/showcase/tdassetmanagement/,"2021-03-20 22:13:00"
393,Siemens,Siemens,"Electrification
Automation
Digitalization
Innovation
Solutions
Technology
Engineering
Manufacturing
Artificial Intelligence
Internet of Things
Cybersecurity
Infrastructure
and Mobility","10,001+ employees",https://www.linkedin.com/company/siemens/,"2021-03-20 22:14:00"
394,"EnTrust Global","EnTrust Global","Financial Services
Asset Management
Alternatives
and Fund of Hedge Funds","51-200 employees",https://www.linkedin.com/company/entrustglobal/,"2021-03-20 22:15:00"
395,"The GPT Group","The GPT Group",NULL,"201-500 employees",https://www.linkedin.com/company/gpt-group/,"2021-03-20 22:15:00"
396,"Liechtensteinische Landesbank (Ã–sterreich) AG","Liechtensteinische Landesbank (Ã–sterreich) AG","Immobilienveranlagung
Depotbank
Investmentfonds
Finanzierung
DiskretionÃ¤re VermÃ¶gensverwaltung
Beratung
Private Banking
and Family Office Service","201-500 employees",https://www.linkedin.com/company/llb-oesterreich-ag/,"2021-03-20 22:16:00"
397,"SCOR Investment Partners SE","SCOR Investment Partners SE","Convertible Bonds
High Yield
Leveraged Loans
Infrastructure Loans
Real Estate Loans
Insurance-linked Securities
and Financial Subordinated Debt","51-200 employees",https://www.linkedin.com/company/scor-global-investments-se/,"2021-03-20 22:16:00"
398,"PAAMCO Prisma","PAAMCO Prisma",NULL,"51-200 employees",https://www.linkedin.com/company/paamco/,"2021-03-20 22:17:00"
399,Sparinvest,Sparinvest,"Value Equities
Value Bonds
Fixed Income
Strategic Asset Allocation
Responsible Investment
Ethical Investment
Mandates for Pension Funds and Insurance Companies
Intelligent Quant
Segregated Account
Danish Fixed Income
Specialised Investment Fund
and Prope","51-200 employees",https://www.linkedin.com/company/sparinvest/,"2021-03-20 22:18:00"
